Candidate,Chamber,District,Party,Incumbent,2016,2018,2020,2022,2024,CUPAC Total,SB 2266 FOM Vote,Direction
Duane Poitra,House,9,D,,,,,,,,,
Lynnell Popowski,House,19,D,,,,,,,,,
Zach Raknerud,House,5,D,,,,,,,,,
Kevin K Remington,House,31,R,,,,,,,,,
David Richter,House,1,R,Incumbent,,,,,,,NAY,Anti-CU
Kristin Roers,Senate,27,R,Incumbent,,,,300,,300,NAY,Anti-CU
Karen Rohr,House,31,R,Incumbent,,300,,400,,700,YEA,Pro-CU
Dean Rummel,Senate,37,R,Incumbent,,,,,,,NAY,Anti-CU
Philip Sallberg,Senate,13,R,,,,,,,,,
Mark Sanford,House,17,R,Incumbent,,300,,,,300,NAY,Anti-CU
Steve Sauter,House,7,R,,,,,,,,,
Donald Schaible,Senate,31,R,Incumbent,,400,,300,,700,NAY,Anti-CU
Mike Schatz,House,39,R,Incumbent,300,,300,,,600,NAY,Anti-CU
Austen Schauer,House,13,R,Incumbent,,250,,,,250,NAY,Anti-CU
Jim Schmidt,House,31,R,,,,,,,,,
Mary Schneider,Senate,21,D,,,300,,,,300,YEA,Pro-CU
Jonathan Sickler,Senate,17,R,Incumbent,,,,,,,NAY,Anti-CU
Kathy Skroch,House,25,R,Incumbent,,,,,,,,
Rich Slagle,House,41,R,,,,,,,,,
Signe Snortland,Senate,33,D,,,,,,,,,
Ronald Sorvaag,Senate,45,R,Incumbent,,400,,300,,700,NAY,Anti-CU
Kelly Spilman,Senate,31,D,,,,,,,,,
Tim Spilman,House,31,D,,,,,,,,,
Michael A Steele,House,23,D,,,,,,,,,
Vicky Steiner,House,37,R,Incumbent,,300,,,,300,YEA,Pro-CU
Greg Stemen,House,27,R,Incumbent,,,,300,,300,NAY,Anti-CU
Michael Thiesen,Senate,3,D,,,,,,,,,
Jason Thoms,House,7,D,,,,,,,,,
Steve Thoring,House,1,D,,,,,,,,,
Chris Tiongson,House,41,D,,,,,,,,,
Bill Tveit,House,33,R,Incumbent,,,,,,,NAY,Anti-CU
Greg Vetter,House,7,R,,,,,,,,,
Scott Wagner,House,45,R,Incumbent,,,,,,,NAY,Anti-CU
Terry M Wanzek,Senate,29,R,Incumbent,,400,,400,,800,NAY,Anti-CU
Kent Weston,Senate,15,R,Incumbent,,,,,,,YEA,Pro-CU
Rissa M Williams,House,31,D,,,,,,,,,
Tiffany Williams-Rice,House,7,D,,,,,,,,,
Kevin Wolsky,House,29,R,,,,,,,,,
Tyler York,House,43,D,,,,,,,,,
